Dan,Masa
0,115.4
1,114.1
2,113.6
3,112.3
4,112.0
5,111.8
6,111.6
7,111.7
8,111.5
9,111.4
10,111.4
11,111.4
12,111.5
13,112.1
14,111.8
15,111.5
16,111.2
17,111.1
18,110.7
19,110.3
20,109.8
21,109.1
22,108.5
23,109.1
24,108.4
25,108.2
26,108.2
28,107.7
29,107.7
30,107.5
31,107.8
32,107.7
33,106.1
34,106.7
35,107.0
36,107.0
37,106.6
38,107.7
39,106.9
40,106.3
41,106.3
42,106.3
43,105.3
44,105.4
45,105.1
46,104.8
47,104.5
48,104.6
49,105.3
50,105.5
51,105.5
52,105.0
53,105.0
54,105.4
55,105.2
56,105.1
57,104.8
59,104.6
60,104.5
61,104.4
62,104.3
63,104.3
64,104.2
65,104.0
66,103.8
67,103.5
68,104.0
69,103.9
70,103.9
71,103.0
72,104.3
73,104.0
74,103.5
75,103.0
76,102.8
77,102.2
78,102.0
79,103.0
80,103.0
81,102.9
82,102.6
83,102.4
84,102.1
85,101.8
86,101.5
87,101.3
88,101.2
89,101.2
90,100.2
91,100.5
92,100.7
93,101.1
94,100.8
95,100.6
96,100.5
97,100.2
98,99.8
99,99.6
100,99.8
101,99.9
102,99.8
103,99.7
104,100.7
105,100.2
